,0
0,1000000.0
1,999933.3397832345
2,999683.7670530786
3,997091.6823788241
4,996140.6984674138
5,993614.2275353349
6,989087.578991264
7,989747.4319684906
8,982264.0871900625
9,981641.3333632336
10,984142.2427089997
11,965088.3313844139
12,979194.8125148998
13,978598.1734826142
14,979432.2324789476
15,980338.7964140091
16,987276.826599078
17,998865.3183874395
18,983292.0743714853
19,979679.5942431607
20,979283.3567284129
21,988006.4728382223
22,985516.7645427382
23,999372.2461323263
24,1011616.9890009824
25,1010184.0912088342
26,974840.1388147399
27,982172.312195097
28,987035.8854194684
29,979928.6484776434
30,943796.8160655154
31,945634.0116188633
32,943758.5925246512
33,929230.1060756034
34,904047.3162533611
35,943279.7789615616
36,928672.2622563342
37,913711.673763301
38,892064.3822573404
39,855752.7374754093
40,846770.6460913952
41,865546.4439445372
42,831571.1522267186
43,834236.1024351877
44,824664.4955620647
45,872699.7429147717
46,873569.875933802
47,906488.9603822152
48,920319.9272357337
49,911633.9260759364
50,938016.770845451
51,951311.2669210961
52,930890.2520629122
53,916382.3688879341
54,981677.4860709967
55,968941.6305178186
56,983985.0434725124
57,1001840.0488941891
58,982986.6459504716
59,953645.3664076782
60,961480.5737875276
61,978028.5430901097
62,1000712.8393029043
63,1008304.4837363415
64,1004577.4077836431
65,982247.1820641937
66,986825.5225123798
67,1010908.3211115721
68,1003893.697695587
69,987037.5687534931
70,1000702.7130036517
71,1006788.3908775739
72,1007374.6098064978
73,974645.84454812
74,987570.305694415
75,976395.142338242
76,989397.4839739952
77,1002410.6686058803
78,1001740.5608387688
79,1003763.9952916226
80,1028301.3598941038
81,1033696.8657161513
82,1042162.6150791318
83,1058610.351549035
84,1061070.9686393365
85,1065973.0241811476
86,1068496.5514748555
87,1098520.4347081291
88,1079555.4547358616
89,1087909.1544380109
90,1064624.979645407
91,1073179.0605882742
92,1064720.5983624486
93,1090899.1699505784
94,1090265.8800978777
95,1082261.5093429259
96,1060732.6380857532
97,1059725.8947783126
98,1078562.7273266478
99,1059632.6830533256
100,1070973.3450920486
101,1083758.0125273732
102,1114120.5102858543
103,1134792.8255689654
104,1121130.3923786706
105,1136423.4452045874
106,1143969.0979728978
107,1139606.1459904714
108,1141760.650572352
109,1141388.5087389091
110,1139953.2933445522
111,1143904.1768726194
112,1115346.514968102
113,1100836.7599335297
114,1102166.9867756288
115,1107726.3039208998
116,1105556.990054979
117,1072954.3469638033
118,1060607.847002027
119,1052917.873158185
120,1075975.8303757445
121,1070484.2545794754
122,1084520.0842667988
123,1078970.1908542446
124,1083241.1780930082
125,1054744.8306369453
126,1054953.132881911
127,1032226.0698737557
128,1035526.0915654715
129,1032443.1491485202
130,1028731.9177140632
131,1045570.36621433
132,1051283.2234150092
133,1081112.5956299235
134,1088999.4428375629
135,1088757.1357962496
136,1102377.393609554
137,1119746.419148815
138,1118054.1931076325
139,1150270.9510079857
140,1159850.6779461133
141,1163225.1162761024
142,1160908.9365118349
